feature,chrome,firefox,safari,interop
aborting,100.0,100.0,100.0,100.0
abortsignal-any,100.0,100.0,100.0,100.0
active-view-transition,100.0,100.0,100.0,100.0
alternative-style-sheets,100.0,100.0,100.0,100.0
animation-composition,100.0,100.0,100.0,100.0
aria-attribute-reflection,100.0,100.0,100.0,100.0
autofill,100.0,100.0,100.0,100.0
b,100.0,100.0,100.0,100.0
base64encodedecode,100.0,100.0,100.0,100.0
bdo,100.0,100.0,100.0,100.0
br,100.0,100.0,100.0,100.0
cap,100.0,100.0,100.0,100.0
cascade-layers,100.0,100.0,100.0,100.0
check-visibility,100.0,100.0,100.0,100.0
color-contrast,100.0,100.0,100.0,100.0
color-gamut,100.0,100.0,100.0,100.0
contain,100.0,100.0,100.0,100.0
contain-intrinsic-size,100.0,100.0,100.0,100.0
contenteditable-plaintextonly,100.0,100.0,100.0,100.0
cookie-enabled,100.0,100.0,100.0,100.0
counter-set,100.0,100.0,100.0,100.0
crisp-edges,100.0,100.0,100.0,100.0
css-escape,100.0,100.0,100.0,100.0
cubic-bezier-easing,100.0,100.0,100.0,100.0
default,100.0,100.0,100.0,100.0
del,100.0,100.0,100.0,100.0
description-list,100.0,100.0,100.0,100.0
details-content,100.0,100.0,100.0,100.0
details-name,100.0,100.0,100.0,100.0
device-queries,100.0,100.0,100.0,100.0
dir-pseudo,100.0,100.0,100.0,100.0
div,100.0,100.0,100.0,100.0
document-colors,100.0,100.0,100.0,100.0
early-data,100.0,100.0,100.0,100.0
empty,100.0,100.0,100.0,100.0
font-optical-sizing,100.0,100.0,100.0,100.0
font-variant-alternates,100.0,100.0,100.0,100.0
gethtml,100.0,100.0,100.0,100.0
gradient-interpolation,100.0,100.0,100.0,100.0
grid-animation,100.0,100.0,100.0,100.0
hardware-concurrency,100.0,100.0,100.0,100.0
headings,100.0,100.0,100.0,100.0
hidden-until-found,100.0,100.0,100.0,100.0
http2,100.0,100.0,100.0,100.0
hwb,100.0,100.0,100.0,100.0
imagebitmaprenderingcontext,100.0,100.0,100.0,100.0
import,100.0,100.0,100.0,100.0
initial-value,100.0,100.0,100.0,100.0
input-button,100.0,100.0,100.0,100.0
input-file,100.0,100.0,100.0,100.0
input-hidden,100.0,100.0,100.0,100.0
input-image,100.0,100.0,100.0,100.0
input-password,100.0,100.0,100.0,100.0
input-reset,100.0,100.0,100.0,100.0
input-submit,100.0,100.0,100.0,100.0
ins,100.0,100.0,100.0,100.0
isolation,100.0,100.0,100.0,100.0
language,100.0,100.0,100.0,100.0
mask-type,100.0,100.0,100.0,100.0
media-query-range-syntax,100.0,100.0,100.0,100.0
min-max-width-height,100.0,100.0,100.0,100.0
modal,100.0,100.0,100.0,100.0
named-color,100.0,100.0,100.0,100.0
namespace,100.0,100.0,100.0,100.0
nth-child,100.0,100.0,100.0,100.0
nth-child-of,100.0,100.0,100.0,100.0
nth-of-type,100.0,100.0,100.0,100.0
online,100.0,100.0,100.0,100.0
output,100.0,100.0,100.0,100.0
overflow,100.0,100.0,100.0,100.0
overflow-overlay,100.0,100.0,100.0,100.0
p,100.0,100.0,100.0,100.0
