date,chrome-version,chrome,firefox-version,firefox,safari-version,safari,interop
2026-02-25,147.0.7702.0,90.4,150.0a1,76.1,237 preview,72.5,67.0
2026-03-04,147.0.7716.0,90.5,150.0a1,76.2,238 preview,73.0,67.5
2026-03-11,147.0.7727.2,90.5,150.0a1,76.3,238 preview,72.8,67.3
2026-03-18,148.0.7738.0,90.4,150.0a1,76.3,239 preview,73.1,67.5
2026-03-30,148.0.7762.0,90.4,151.0a1,76.2,240 preview,73.1,67.4
2026-04-06,148.0.7775.0,90.5,151.0a1,76.3,240 preview,73.0,67.4
2026-04-13,149.0.7789.0,90.4,151.0a1,76.2,241 preview,73.1,67.5
2026-04-21,149.0.7803.0,90.2,151.0a1,76.2,241 preview,73.0,67.3
2026-04-28,149.0.7812.0,90.2,152.0a1,76.2,242 preview,73.3,67.4
2026-05-05,149.0.7826.0,90.3,152.0a1,76.2,242 preview,73.1,67.3
2026-05-12,150.0.7835.0,90.3,152.0a1,76.2,243 preview,73.4,67.8
2026-05-19,150.0.7845.0,89.9,152.0a1,75.7,243 preview,72.9,67.2
