date,chrome-version,chrome-interop-2021-aspect-ratio,chrome-interop-2021-flexbox,chrome-interop-2021-grid,chrome-interop-2021-position-sticky,chrome-interop-2021-transforms,firefox-version,firefox-interop-2021-aspect-ratio,firefox-interop-2021-flexbox,firefox-interop-2021-grid,firefox-interop-2021-position-sticky,firefox-interop-2021-transforms,safari-version,safari-interop-2021-aspect-ratio,safari-interop-2021-flexbox,safari-interop-2021-grid,safari-interop-2021-position-sticky,safari-interop-2021-transforms,interop-version,interop-interop-2021-aspect-ratio,interop-interop-2021-flexbox,interop-interop-2021-grid,interop-interop-2021-position-sticky,interop-interop-2021-transforms
2021-01-02,89.0.4356.6 dev,886,858,916,880,731,86.0a1,905,873,874,837,717,117 preview,251,809,889,753,636,-,256,902,879,567,588
2021-01-04,89.0.4356.6 dev,886,858,916,880,731,86.0a1,905,873,874,837,717,117 preview,251,809,889,753,636,-,256,902,879,567,588
2021-01-05,89.0.4356.6 dev,886,858,916,880,731,86.0a1,905,873,874,861,717,117 preview,251,809,889,753,636,-,256,902,879,567,588
2021-01-06,89.0.4356.6 dev,886,858,916,880,731,86.0a1,905,873,874,861,717,117 preview,251,809,889,753,637,-,256,902,879,567,589
2021-01-07,89.0.4356.6 dev,886,858,916,880,731,86.0a1,918,873,874,861,717,118 preview,251,817,890,753,636,-,253,911,879,567,588
2021-01-08,89.0.4356.6 dev,886,858,910,880,732,86.0a1,918,875,867,861,717,118 preview,251,818,883,753,637,-,253,909,870,567,589
2021-01-09,89.0.4381.6 dev,893,858,910,880,732,86.0a1,918,875,867,861,717,118 preview,251,818,883,753,636,-,253,909,870,567,588
2021-01-10,89.0.4381.6 dev,893,858,910,880,732,86.0a1,918,875,867,861,717,118 preview,251,818,883,753,636,-,253,909,870,567,588
2021-01-11,89.0.4381.6 dev,893,858,910,880,732,86.0a1,918,875,867,861,717,118 preview,251,818,884,753,636,-,253,909,870,567,588
2021-01-12,89.0.4381.6 dev,893,858,910,880,732,86.0a1,924,875,867,861,717,118 preview,257,818,884,753,637,-,251,909,870,567,589
2021-01-13,89.0.4385.0 dev,893,860,913,880,732,86.0a1,924,875,871,861,717,118 preview,257,818,886,753,637,-,251,910,871,567,589
2021-01-21,89.0.4389.9 dev,905,891,918,880,732,86.0a1,943,946,902,861,717,118 preview,257,845,890,753,636,-,254,871,848,567,588
2021-01-22,89.0.4389.9 dev,905,891,918,880,732,86.0a1,943,946,902,861,717,118 preview,257,845,890,753,636,-,254,871,848,567,588
2021-01-23,89.0.4389.9 dev,905,891,918,880,732,86.0a1,943,946,902,861,717,118 preview,257,845,890,753,636,-,254,871,848,567,588
2021-01-25,89.0.4389.9 dev,905,891,918,880,732,86.0a1,943,946,902,861,717,118 preview,257,845,890,753,637,-,254,871,848,567,589
2021-01-26,89.0.4389.9 dev,905,891,918,880,732,87.0a1,943,947,902,861,717,118 preview,251,846,891,753,637,-,246,870,848,567,589
2021-01-27,89.0.4389.9 dev,905,891,918,880,732,87.0a1,943,948,902,861,717,118 preview,251,846,890,753,636,-,246,871,848,567,588
2021-01-28,89.0.4389.23 dev,902,897,918,880,732,87.0a1,940,958,904,861,717,119 preview,251,854,892,753,665,-,243,871,842,567,596
2021-01-29,90.0.4400.8 dev,908,897,918,880,732,87.0a1,940,958,904,861,717,119 preview,251,854,892,753,665,-,243,871,842,567,596
2021-01-30,90.0.4400.8 dev,908,897,920,880,732,87.0a1,940,958,905,861,717,119 preview,251,854,895,753,664,-,243,871,841,567,595
2021-02-01,90.0.4400.8 dev,902,897,920,880,732,87.0a1,940,957,905,861,717,119 preview,251,854,895,753,664,-,243,871,841,567,595
2021-02-02,90.0.4400.8 dev,908,897,920,880,732,87.0a1,940,957,905,861,717,119 preview,251,854,896,753,664,-,243,871,841,567,595
2021-02-03,90.0.4400.8 dev,927,897,920,880,732,87.0a1,959,957,905,861,717,119 preview,257,854,896,753,664,-,245,871,841,567,595
2021-02-04,90.0.4400.8 dev,927,897,920,880,732,87.0a1,959,957,905,861,717,119 preview,257,854,895,753,665,-,245,871,841,567,596
2021-02-05,90.0.4400.8 dev,927,897,922,880,732,87.0a1,959,958,907,861,717,119 preview,257,854,896,753,665,-,245,871,840,567,596
2021-02-06,90.0.4408.0 dev,930,901,924,880,732,87.0a1,959,958,907,861,717,119 preview,257,854,896,753,665,-,245,872,843,567,596
2021-02-08,90.0.4408.0 dev,930,901,924,880,732,87.0a1,959,958,907,861,717,119 preview,257,854,896,753,665,-,245,872,843,567,596
2021-02-09,90.0.4412.3 dev,937,901,930,880,732,87.0a1,959,958,912,861,717,119 preview,257,854,901,753,665,-,245,872,842,567,596
2021-02-10,90.0.4412.3 dev,937,901,930,880,732,87.0a1,959,958,911,861,717,119 preview,257,854,901,753,665,-,245,871,841,567,596
2021-02-11,90.0.4412.3 dev,937,901,930,880,732,87.0a1,959,958,912,861,717,119 preview,260,854,901,753,665,-,249,871,842,567,596
