date,chrome-version,chrome-interop-2021-aspect-ratio,chrome-interop-2021-flexbox,chrome-interop-2021-grid,chrome-interop-2021-position-sticky,chrome-interop-2021-transforms,firefox-version,firefox-interop-2021-aspect-ratio,firefox-interop-2021-flexbox,firefox-interop-2021-grid,firefox-interop-2021-position-sticky,firefox-interop-2021-transforms,safari-version,safari-interop-2021-aspect-ratio,safari-interop-2021-flexbox,safari-interop-2021-grid,safari-interop-2021-position-sticky,safari-interop-2021-transforms,interop-version,interop-interop-2021-aspect-ratio,interop-interop-2021-flexbox,interop-interop-2021-grid,interop-interop-2021-position-sticky,interop-interop-2021-transforms
2021-01-01,87.0.4280.88,238,841,914,880,703,84.0.1,238,871,874,837,717,14.0 (15610.1.28.1.9),251,753,871,753,616,-,250,837,860,567,567
2021-01-03,87.0.4280.88,238,841,914,880,703,84.0.1,238,871,874,837,717,14.0 (15610.1.28.1.9),251,753,871,753,616,-,250,837,860,567,567
2021-01-05,87.0.4280.88,238,841,914,880,703,84.0.1,238,871,874,837,717,14.0 (15610.1.28.1.9),251,753,871,753,615,-,250,837,860,567,567
2021-01-07,87.0.4280.141,238,841,914,880,703,84.0.2,238,871,874,861,717,14.0 (15610.1.28.1.9),251,753,870,753,615,-,246,837,860,567,567
2021-01-08,87.0.4280.141,238,841,908,880,703,84.0.2,238,871,867,861,717,14.0 (15610.1.28.1.9),251,753,865,753,615,-,246,837,852,567,567
2021-01-09,87.0.4280.141,238,842,908,880,703,84.0.2,238,873,867,861,717,14.0 (15610.1.28.1.9),251,754,865,753,615,-,246,836,852,567,567
2021-01-10,87.0.4280.141,238,842,908,880,703,84.0.2,238,873,867,861,717,14.0 (15610.1.28.1.9),251,754,865,753,616,-,246,836,852,567,567
2021-01-11,87.0.4280.141,238,842,908,880,703,84.0.2,238,873,867,861,717,14.0 (15610.1.28.1.9),251,754,865,753,615,-,246,836,852,567,567
2021-01-12,87.0.4280.141,238,842,908,880,703,84.0.2,238,873,867,861,717,14.0 (15610.1.28.1.9),251,754,865,753,616,-,246,836,852,567,567
2021-01-14,87.0.4280.141,245,842,911,880,703,84.0.2,245,873,871,861,717,14.0 (15610.1.28.1.9),257,754,868,753,616,-,251,836,852,567,567
2021-01-22,88.0.4324.96,905,891,917,880,706,84.0.2,245,944,902,861,717,14.0 (15610.1.28.1.9),257,782,873,753,615,-,248,803,830,567,568
2021-01-23,88.0.4324.96,905,891,917,880,706,84.0.2,245,944,902,861,717,14.0 (15610.1.28.1.9),257,782,873,753,615,-,248,803,830,567,568
2021-01-24,88.0.4324.96,905,891,917,880,706,84.0.2,245,944,902,861,717,14.0 (15610.1.28.1.9),257,782,873,753,616,-,248,803,830,567,569
2021-01-25,88.0.4324.96,905,891,917,880,706,84.0.2,245,944,902,861,717,14.0 (15610.1.28.1.9),257,782,873,753,616,-,248,803,830,567,569
2021-01-29,88.0.4324.96,896,897,918,880,706,85.0,235,956,904,861,717,14.0.2 (15610.3.7.1.10),251,793,877,753,616,-,237,805,826,567,569
2021-01-30,88.0.4324.96,896,897,918,880,706,85.0,235,956,904,861,717,14.0.2 (15610.3.7.1.10),251,793,877,753,615,-,237,805,826,567,568
2021-01-31,88.0.4324.96,902,897,920,880,706,85.0,235,956,905,861,717,14.0.2 (15610.3.7.1.10),251,793,879,753,616,-,237,805,826,567,569
2021-02-03,88.0.4324.146,896,897,920,880,706,85.0,235,956,905,861,717,14.0.2 (15610.3.7.1.10),251,793,879,753,616,-,237,805,826,567,569
2021-02-04,88.0.4324.146,915,897,919,880,706,85.0,242,956,905,861,717,14.0.2 (15610.3.7.1.10),257,793,879,753,616,-,238,805,826,567,569
2021-02-05,88.0.4324.150,921,897,921,880,706,85.0,242,956,907,861,717,14.0.2 (15610.3.7.1.10),257,793,880,753,616,-,238,805,825,567,569
2021-02-06,88.0.4324.150,915,897,921,880,706,85.0.1,242,956,907,861,717,14.0.2 (15610.3.7.1.10),257,793,879,753,616,-,238,805,825,567,569
2021-02-07,88.0.4324.150,921,897,921,880,706,85.0.1,242,956,907,861,717,14.0.2 (15610.3.7.1.10),257,793,880,753,616,-,238,805,825,567,569
2021-02-09,88.0.4324.150,915,897,924,880,706,85.0.1,242,956,910,861,717,14.0.2 (15610.3.7.1.10),257,793,883,753,616,-,238,805,825,567,569
2021-02-12,88.0.4324.150,917,897,927,880,706,85.0.2,236,956,910,861,717,14.0.3 (15610.4.3.1.6),254,794,886,753,616,-,237,806,823,567,569
2021-02-13,88.0.4324.150,921,898,929,880,706,85.0.2,236,957,911,861,717,14.0.3 (15610.4.3.1.6),254,795,887,753,616,-,237,807,819,567,569
2021-02-14,88.0.4324.150,921,898,928,880,706,85.0.2,236,957,911,861,717,14.0.3 (15610.4.3.1.6),254,795,887,753,616,-,237,807,819,567,569
2021-02-16,88.0.4324.150,915,898,929,880,706,85.0.2,236,957,911,861,717,14.0.3 (15610.4.3.1.6),254,795,887,753,616,-,237,807,819,567,569
