date,chrome-version,chrome-interop-2021-aspect-ratio,chrome-interop-2021-flexbox,chrome-interop-2021-grid,chrome-interop-2021-position-sticky,chrome-interop-2021-transforms,chrome-interop-2022-cascade,chrome-interop-2022-color,chrome-interop-2022-contain,chrome-interop-2022-dialog,chrome-interop-2022-forms,chrome-interop-2022-scrolling,chrome-interop-2022-subgrid,chrome-interop-2022-text,chrome-interop-2022-viewport,chrome-interop-2022-webcompat,firefox-version,firefox-interop-2021-aspect-ratio,firefox-interop-2021-flexbox,firefox-interop-2021-grid,firefox-interop-2021-position-sticky,firefox-interop-2021-transforms,firefox-interop-2022-cascade,firefox-interop-2022-color,firefox-interop-2022-contain,firefox-interop-2022-dialog,firefox-interop-2022-forms,firefox-interop-2022-scrolling,firefox-interop-2022-subgrid,firefox-interop-2022-text,firefox-interop-2022-viewport,firefox-interop-2022-webcompat,safari-version,safari-interop-2021-aspect-ratio,safari-interop-2021-flexbox,safari-interop-2021-grid,safari-interop-2021-position-sticky,safari-interop-2021-transforms,safari-interop-2022-cascade,safari-interop-2022-color,safari-interop-2022-contain,safari-interop-2022-dialog,safari-interop-2022-forms,safari-interop-2022-scrolling,safari-interop-2022-subgrid,safari-interop-2022-text,safari-interop-2022-viewport,safari-interop-2022-webcompat,interop-version,interop-interop-2021-aspect-ratio,interop-interop-2021-flexbox,interop-interop-2021-grid,interop-interop-2021-position-sticky,interop-interop-2021-transforms,interop-interop-2022-cascade,interop-interop-2022-color,interop-interop-2022-contain,interop-interop-2022-dialog,interop-interop-2022-forms,interop-interop-2022-scrolling,interop-interop-2022-subgrid,interop-interop-2022-text,interop-interop-2022-viewport,interop-interop-2022-webcompat
2022-01-02,98.0.4758.9 dev,993,986,978,1000,978,105,419,953,871,927,908,98,692,0,223,97.0a1,976,989,912,892,973,751,449,842,788,885,729,816,990,0,677,137 preview,970,951,963,1000,846,622,862,309,815,661,793,98,811,0,139,-,960,944,881,892,831,78,461,259,768,633,655,113,647,0,112
2022-01-03,98.0.4758.9 dev,993,986,978,1000,978,105,419,953,871,927,908,98,692,0,223,97.0a1,976,989,912,892,973,751,449,842,788,885,729,816,990,0,677,137 preview,970,951,963,1000,846,622,862,309,815,661,793,98,811,0,139,-,960,944,881,892,831,78,461,259,768,633,656,113,647,0,112
2022-01-04,98.0.4758.9 dev,993,986,978,1000,978,105,419,953,894,922,908,98,692,0,223,97.0a1,976,989,912,892,973,751,449,842,817,885,729,816,990,0,677,137 preview,970,951,963,1000,845,622,862,309,815,661,793,98,811,0,139,-,960,944,881,892,830,78,461,259,793,630,655,113,647,0,112
2022-01-05,98.0.4758.9 dev,993,986,978,1000,978,105,419,953,894,922,908,98,692,0,223,97.0a1,976,989,912,892,965,751,459,842,817,885,728,816,990,0,677,137 preview,970,951,963,1000,846,622,862,309,808,666,794,98,811,0,139,-,960,944,881,892,826,78,461,259,786,635,656,113,647,0,112
2022-01-06,98.0.4758.9 dev,993,986,978,1000,978,105,419,953,894,927,908,98,692,0,223,97.0a1,976,989,912,892,965,751,459,842,828,885,729,816,990,0,677,137 preview,970,951,963,1000,846,622,862,309,815,661,789,98,811,0,139,-,960,944,881,892,826,78,461,259,805,633,651,113,647,0,112
2022-01-07,98.0.4758.9 dev,993,986,978,1000,978,105,419,953,894,927,908,98,692,0,223,97.0a1,976,990,912,892,965,751,459,842,817,885,728,816,990,0,677,137 preview,970,951,963,1000,846,622,862,309,815,661,788,98,811,0,139,-,960,945,881,892,826,78,461,259,793,633,651,113,647,0,112
2022-01-08,98.0.4758.9 dev,987,986,978,1000,978,105,419,953,894,922,908,98,692,0,223,97.0a1,976,990,912,892,965,751,459,842,817,885,728,816,990,0,677,137 preview,970,951,963,1000,846,622,862,309,815,661,784,98,811,0,139,-,953,945,881,892,826,78,461,259,793,630,646,113,647,0,112
2022-01-09,98.0.4758.9 dev,993,986,978,1000,978,105,419,953,894,922,908,98,692,0,223,97.0a1,976,990,912,892,965,751,459,842,828,885,728,816,990,0,677,137 preview,970,951,963,1000,846,622,867,309,815,661,794,98,811,0,139,-,960,945,881,892,826,78,461,259,805,630,656,113,647,0,112
2022-01-10,98.0.4758.9 dev,993,986,978,1000,978,105,419,953,905,927,908,98,692,0,223,97.0a1,976,990,912,892,965,751,459,842,828,885,729,816,990,0,677,137 preview,971,951,963,1000,846,622,867,309,815,661,783,98,811,0,139,-,960,945,881,892,826,78,461,259,805,633,645,113,647,0,112
2022-01-11,98.0.4758.9 dev,993,986,978,1000,978,105,419,953,905,927,908,98,692,0,223,98.0a1,976,990,912,892,965,751,459,842,828,885,728,816,990,0,677,137 preview,970,951,963,1000,845,622,867,309,769,661,794,98,811,0,139,-,960,945,881,892,825,78,461,259,768,633,656,113,647,0,112
2022-01-12,99.0.4818.0 dev,993,986,978,1000,985,774,419,953,917,927,908,98,692,0,223,98.0a1,976,990,912,892,965,751,459,842,839,885,728,816,990,0,677,137 preview,970,951,963,1000,846,622,867,309,826,661,793,98,811,0,139,-,960,945,881,892,826,726,461,259,817,633,655,113,647,0,112
2022-01-13,99.0.4818.0 dev,993,986,978,1000,985,774,419,953,917,927,908,98,692,0,223,98.0a1,976,990,912,892,965,751,459,842,839,880,728,816,990,0,820,137 preview,970,951,963,1000,846,622,867,309,815,651,784,98,811,0,282,-,960,945,881,892,826,726,461,259,805,624,646,113,647,0,93
2022-01-14,99.0.4818.0 dev,993,986,978,1000,985,774,419,953,917,927,908,98,692,0,223,98.0a1,976,990,912,892,965,751,459,842,839,885,729,816,990,0,820,137 preview,971,951,963,1000,846,622,867,309,826,661,789,98,811,0,282,-,960,945,881,892,826,726,461,259,817,633,651,113,647,0,93
2022-01-15,99.0.4818.0 dev,993,986,978,1000,985,774,419,953,917,927,908,98,692,0,223,98.0a1,976,990,912,892,965,751,459,842,839,885,728,816,990,0,820,137 preview,971,951,963,1000,846,622,867,309,808,656,778,98,811,0,282,-,960,945,881,892,826,726,461,259,798,629,640,113,647,0,93
2022-01-17,99.0.4818.0 dev,993,986,978,1000,985,774,419,953,917,927,908,98,692,0,223,98.0a1,976,990,912,892,965,751,459,842,839,885,728,816,990,0,820,137 preview,970,951,963,1000,846,622,867,309,815,651,794,98,811,0,282,-,960,945,881,892,826,726,461,259,805,624,656,113,647,0,93
2022-01-18,99.0.4818.0 dev,993,986,978,1000,985,774,419,953,917,927,908,98,692,0,223,98.0a1,976,990,912,892,965,751,459,842,839,885,728,816,990,0,820,137 preview,970,951,963,1000,846,622,867,309,826,661,784,98,811,0,282,-,960,945,881,892,826,726,461,259,817,633,646,113,647,0,93
2022-01-19,99.0.4818.0 dev,993,986,978,1000,985,774,419,953,924,922,908,98,692,0,223,98.0a1,976,990,912,892,965,751,459,842,847,885,728,816,990,0,820,137 preview,970,951,963,1000,846,622,867,309,827,666,789,98,811,0,282,-,960,945,881,892,826,726,461,259,809,635,651,113,647,0,93
2022-01-20,99.0.4818.0 dev,993,986,978,1000,985,774,419,953,924,927,908,98,692,23,223,98.0a1,976,990,912,892,965,751,459,842,847,885,728,816,990,23,820,137 preview,970,951,963,1000,846,622,867,309,827,666,784,98,811,142,282,-,960,945,881,892,826,726,461,259,809,638,646,113,647,166,93
2022-01-21,99.0.4818.0 dev,993,986,978,1000,985,774,419,953,924,927,917,98,692,23,223,98.0a1,976,990,912,892,965,751,459,842,847,885,729,816,990,23,820,138 preview,971,951,963,1000,884,654,867,885,834,664,803,98,811,142,282,-,960,945,881,892,863,766,461,757,815,633,666,113,647,166,93
2022-01-22,99.0.4840.0 dev,993,986,980,1000,985,774,419,953,924,922,917,98,692,23,223,98.0a1,976,990,912,892,965,751,459,842,847,885,729,816,990,23,820,138 preview,971,951,963,1000,884,654,867,885,834,664,803,98,811,142,282,-,960,945,881,892,863,766,461,757,815,630,666,113,647,166,93
2022-01-24,99.0.4840.0 dev,993,986,980,1000,985,774,419,953,924,927,917,98,692,23,223,98.0a1,976,990,912,892,965,751,459,842,847,885,728,816,990,23,820,138 preview,971,951,963,1000,884,654,867,885,822,654,803,98,811,142,282,-,960,945,881,892,863,766,461,757,803,624,666,113,647,166,93
2022-01-27,99.0.4840.0 dev,993,986,980,1000,985,774,419,953,924,927,917,98,692,23,223,98.0a1,976,990,912,892,965,751,459,842,847,885,729,816,990,23,820,138 preview,971,951,963,1000,884,654,867,880,822,654,803,98,811,142,282,-,960,945,881,892,863,766,461,752,803,624,666,113,647,166,93
2022-01-28,99.0.4844.11 dev,993,986,980,1000,985,774,419,953,924,927,917,98,692,23,223,98.0a1,976,990,912,892,965,751,459,842,847,885,728,816,990,23,820,139 preview,971,956,963,1000,886,727,867,885,839,659,803,98,811,142,424,-,960,949,881,892,866,851,461,757,821,629,666,113,647,166,93
2022-01-29,99.0.4844.11 dev,993,986,980,1000,985,774,419,953,924,927,917,98,692,23,223,98.0a1,976,990,912,892,965,751,459,842,847,885,718,816,990,23,820,139 preview,971,956,963,1000,885,727,867,885,857,664,803,98,811,142,424,-,960,949,881,892,865,851,461,757,840,633,656,113,647,166,93
2022-01-30,99.0.4844.11 dev,993,986,980,1000,985,774,419,953,924,927,917,98,692,23,223,98.0a1,976,990,912,892,965,751,459,842,847,885,729,816,990,23,820,139 preview,971,956,963,1000,886,727,867,885,857,664,794,98,811,142,424,-,960,949,881,892,866,851,461,757,840,633,656,113,647,166,93
2022-01-31,99.0.4844.11 dev,993,986,980,1000,985,774,419,953,939,922,917,98,692,23,223,98.0a1,976,990,912,892,965,751,459,842,851,884,719,816,990,23,820,139 preview,971,956,963,1000,886,727,867,885,860,665,793,98,811,142,424,-,960,949,881,892,866,851,461,757,834,631,646,113,647,166,93
2022-02-01,99.0.4844.16 dev,993,986,980,1000,985,774,419,953,939,927,917,98,692,23,223,98.0a1,976,990,912,892,965,751,459,842,851,885,728,816,990,23,820,139 preview,971,956,963,1000,886,727,867,885,849,655,803,98,811,142,424,-,960,949,881,892,866,851,461,757,822,625,666,113,647,166,93
2022-02-02,99.0.4844.16 dev,993,986,980,1000,985,774,419,953,939,927,927,98,692,23,223,98.0a1,976,990,912,892,965,751,459,842,862,885,738,816,990,23,820,139 preview,971,956,963,1000,886,727,862,885,849,655,803,98,811,142,424,-,960,949,881,892,866,851,455,757,834,625,659,113,647,166,93
2022-02-03,99.0.4844.17 dev,993,986,980,1000,985,774,419,953,939,922,927,98,692,23,223,98.0a1,976,990,912,892,965,751,459,842,851,885,728,816,990,23,820,139 preview,971,956,963,1000,886,727,867,885,842,660,803,98,811,142,424,-,960,949,881,892,866,851,461,757,815,627,649,113,647,166,93
2022-02-04,100.0.4867.0 dev,993,986,980,1000,978,774,419,953,939,927,927,98,692,23,223,98.0a1,976,990,912,892,965,751,459,842,851,885,728,816,990,23,820,139 preview,971,956,963,1000,886,727,867,885,849,655,803,98,811,142,424,-,960,949,881,892,861,851,461,757,822,625,649,113,647,166,93
